sqft,beds,baths,parking,age_of_property,price_in_rupees,furnishing_status_encoded,location_Bangalore,location_Bangalore_Whitefield,location_Bhubaneswar,location_Chandigarh,location_Chennai,location_Delhi,location_Delhi_VasantVihar,location_Gurgaon_DLF,location_Hyderabad,location_Hyderabad_Gachibowli,location_Indore,location_Jaipur,location_Kochi,location_Kolkata,location_Lucknow,location_Mumbai,location_Mumbai_Bandra,location_Noida_Sector150,location_Pune,property_type_independent_house,property_type_villa,price_per_sqft,total_rooms,age_category_recent,age_category_old,age_category_very_old
4606,3,3,2,1,133051716,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,28886.607902735563,6,False,False,False
1982,3,3,1,30,23207969,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11709.36881937437,6,False,False,True
1704,1,1,1,29,12403404,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,7278.992957746479,2,False,False,True
1883,1,1,1,26,10306666,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5473.534784917684,2,False,False,True
2459,4,3,3,16,28803434,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11713.474583163888,7,False,True,False
1765,2,2,2,25,27661955,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15672.495750708214,4,False,False,True
4354,4,4,3,0,42505757,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,9762.461414790996,8,False,False,False
1950,2,2,2,11,12795353,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,6561.719487179487,4,False,True,False
875,1,1,1,0,24354693,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27833.934857142856,2,False,False,False
2141,2,1,3,30,10947600,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5113.31153666511,3,False,False,True
2170,2,2,2,6,23074130,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,10633.239631336406,4,True,False,False
3358,6,5,1,3,53295619,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,15871.238534842169,11,False,False,False
4078,4,3,2,24,87604404,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,21482.198136341343,7,False,False,True
2182,2,2,2,0,32889392,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15073.04857928506,4,False,False,False
2486,2,2,2,18,15887705,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6390.8708769107,4,False,True,False
